"alpha"	"delta"	"mig"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"means"
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"slope"	-5.292426e-05
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10	"intercept"	0.49995927
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	5000	"slope"	-0.023011063776
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	5000	"intercept"	0.0294004805
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10000	"slope"	-0.02967511244
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	10000	"intercept"	0.029623005
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	15000	"slope"	-0.0297362337
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	15000	"intercept"	0.0313878604
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	20000	"slope"	0.0720350124
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	20000	"intercept"	0.02653639141
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	25000	"slope"	0.08874432362
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	25000	"intercept"	0.0296817487
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	30000	"slope"	0.1999430391
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	30000	"intercept"	0.0295686591
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	35000	"slope"	0.25365484
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	35000	"intercept"	0.027406398
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	40000	"slope"	0.26407459
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	40000	"intercept"	0.0293792282
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	45000	"slope"	0.20182391
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	45000	"intercept"	0.0265864148
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	50000	"slope"	0.205637714
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	50000	"intercept"	0.0257425225
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	55000	"slope"	0.200803547
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	55000	"intercept"	0.0264277491
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	60000	"slope"	0.21497605
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	60000	"intercept"	0.0289998685
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	65000	"slope"	0.2864884
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	65000	"intercept"	0.027757387
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	70000	"slope"	0.33020501
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	70000	"intercept"	0.0294533008
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	75000	"slope"	0.27891745
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	75000	"intercept"	0.0304677103
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	80000	"slope"	0.25279953
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	80000	"intercept"	0.0252901007
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	85000	"slope"	0.201457771
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	85000	"intercept"	0.0255009263
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	90000	"slope"	0.164383405
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	90000	"intercept"	0.033595719
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	95000	"slope"	0.179056128
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	95000	"intercept"	0.02636514265
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	100000	"slope"	0.20815929
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"1524806962131286597"	100000	"intercept"	0.0318300084
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"3967946174086466208"	10	"slope"	0.00026078059
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"3967946174086466208"	10	"intercept"	0.50000003
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"3967946174086466208"	5000	"slope"	0.0407977839
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"3967946174086466208"	5000	"intercept"	0.0311572102
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"3967946174086466208"	10000	"slope"	0.0417066829
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"3967946174086466208"	10000	"intercept"	0.0314380416
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"3967946174086466208"	15000	"slope"	0.07261819077
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"3967946174086466208"	15000	"intercept"	0.0257239603
"0.0"	"0.2"	"0.01"	"0.01"	"0.005"	"0.01"	"100000"	"5000"	"100"	"3967946174086466208"	20000	"slope"	0.06951654066
